item_name_original,item_name_english,category_standardized
芝麻牛蒡,,Sides & Accompaniments
粉嫩豬肝,,Mains
蔥爆牛肉,,Mains
薑絲腸頭,,Mains
脆皮肥腸,,Mains
麻油腰子,,Mains
白切土雞,,Mains
三杯土雞,,Mains
蒜酥土雞,,Mains
香酥蝦捲,,Mains
蒜泥香蚵,,Mains
酥炸香蚵,,Mains
九香蛤蜊,,Mains
燒烤九孔,,Mains
枸杞九孔,,Mains
南煎豬肝,Stir-fried pig liver,Mains
蒜香烏魚腱,Deep-fried mullet stomach with garlic,Mains
香蒜龍珠,Stir-fried octopus mouth with garlic,Mains
魯雞腳,Stewed chicken feet,Mains
酒仙肥腸,Stir-fried mexico chili pepper and pig intestine,Mains
古早味白菜滷,Stewed Chinese cabbage,Mains
韭菜花雙蛋油條,Stir-fried chive flower with egg and century egg,Mains
蒜苗石斑肚,Stir-fried fish stomach with garlic sprout,Mains
吻仔魚炒小花生,Stir-fried withbait with peanuts,Mains
雞閙豆腐煲,Fried egg with tofu,Mains
麻油腰花,Boiled pork kidney with sesame oil,Mains
古早煎豆腐,Taiwanese sauteed tofu,Mains
麻油雙腰,Boiled pork kidney and chicken testicles with sesame oil,Mains
招牌樹子豆腐,Fried tofu with cordia,Mains
麻油松板肉,Boiled pork neck with sesame oil,Mains
香煎蝦,Fried shrimp with Shaoxing wine,Mains
塔香酥蚵,Deep-fried oyster with basil,Mains
蒜味蝦,Stir-fried shrimp with garlic,Mains
扁豆脆餅,Roasted Papad,Appetizers & Starters
黃金薯餅佐蓮子豆咖哩,Balle Punjabi Tikki Chole,Appetizers & Starters
滿洲獅子丸,Veg Manchurian's,Appetizers & Starters
小黃瓜優格沙拉,Cucumber Raita,Salads & Cold Dishes
綜合優格沙拉,Mixed Raita,Salads & Cold Dishes
涼拌辣味洋蔥,Lacha Pyaaz Spicy,Salads & Cold Dishes
蘑菇蔬菜濃湯,Bahar E Sabaz Shorba,Other
黑胡椒雞肉濃湯,Kukkad Kaali Mirch Shorba,Other
扁豆脆餅,Roasted Papad,Appetizers & Starters
帕尼普里爆汁脆球,Balle Balle Pani Puri,Appetizers & Starters
黃金薯餅佐蓮子豆咖哩,Balle Punjabi Tikki Chole,Appetizers & Starters
香料窯烤乳酪塊,Amritsari Paneer Tikka,Appetizers & Starters
滿洲獅子丸,Veg Manchurian's,Appetizers & Starters
薑風味窯烤乳酪塊,Achari Paneer Tikka,Salads & Cold Dishes
小黃瓜優格沙拉,Cucumber Raita,Salads & Cold Dishes
綜合優格沙拉,Mixed Raita,Salads & Cold Dishes
涼拌辣味洋蔥,Lacha Pyaaz Spicy,Salads & Cold Dishes
菠菜風味窯烤乳酪塊,Hariyali Paneer Tikka,Salads & Cold Dishes
蘑菇蔬菜濃湯,Bahar E Sabaz Shorba,Other
黑胡椒雞肉濃湯,Kukkad Kaali Mirch Shorba,Other
蒜炒烏魚胗,Stir-Fried Mullet Stomach,Mains
蒜炒烏魚膘,Stir-Fried Mullet Milt with Garlic Sauce,Mains
金沙鹹酥蝦,Fried Shrimps with Salt and Salted Egg Yolk,Mains
芹菜中卷,Stir-Fried Squid with Celery,Mains
薑絲中卷,Stir-Fried Squid with Shredded Ginger,Mains
乾煎魚,Pan-Fried Fish,Mains
窯烤香辣雞塊,Murg ke Tikkey,Appetizers & Starters
坦杜里雞腿-二隻,Dilwala Tandoori Murg Half,Appetizers & Starters
白醬窯烤嫩雞塊,Murg Malai Kebab,Appetizers & Starters
(清真) 孜然風味羊肉條,Raunak E Seekh Kebab,Appetizers & Starters
窯烤無骨鯛魚,Ajwani Machli Tikka,Appetizers & Starters
皇家檸檬烤蝦,Ajwani Tandoori Jhinga,Appetizers & Starters
奶油雞肉咖哩,Murg Makhani Masala,Pasta / Noodles / Rice
風味菠菜咖哩雞,Murg Saag Wala,Pasta / Noodles / Rice
香辣雞肉馬鈴薯,Murg Vindaloo,Pasta / Noodles / Rice
洋蔥青椒炭烤咖哩雞,Murg Kadai,Pasta / Noodles / Rice
菠菜綠醬羊肉,Gosht Saagwala,Pasta / Noodles / Rice
旁遮普傳統羊肉,Gosht Rahra,Pasta / Noodles / Rice
炭烤魚咖哩,Fish Tikka Masala,Pasta / Noodles / Rice
炭烤蝦仁咖哩,Jhinga Tikka Masala,Pasta / Noodles / Rice
炭烤茄子泥咖哩,Baigan Patiala,Pasta / Noodles / Rice
阿姆利則洋蔥青椒酪塊,Amritsari Kadai Paneer,Pasta / Noodles / Rice
菠菜風味酪塊,Palak Paneer,Pasta / Noodles / Rice
鮮奶油黑扁豆咖哩,Dal Makhani,Pasta / Noodles / Rice
奶油烤餅,Butter Naan,Other
蒜香烤餅,Garlic Naan,Other
全麥手工抓餅,Lachha Parontha,Other
印度香米白飯,Steamed Basmati Rice,Other
薑黃飯,Sabz Pulao,Other
山蘇小魚乾,Stir-fried fern and dried fish,Sides & Accompaniments
三杯中卷,Stewed squid with san-bei sauce,Mains
山藥蘆筍炒百合,Stir-fried yam asparagus and lily,Mains
三杯雞,Stewed en with san-bei sauce 3,Mains
陶板絲瓜燴百菇,Boiled luffa with assorted mushroom,Mains
三杯杏鮑菇,Stewed king oyster mushroom with san-bei sauce,Mains
高山高麗菜,Stir-fried cabbage,Mains
高山櫻花蝦高麗菜,Stir-fried sakura shrimp and cabbage,Mains
金銀莧菜,Stir-fried Chinese spinach with salted egg and century egg,Mains
季節時蔬,Seasonal vegetables,Mains
沙拉龍蝦,Lobster salad,Mains
高麗魚條,Deep fried sliced fish,Mains
紅蟳米糕,Glutinous rice with crab,Mains
台南炒鱔魚,Stir fried swamp eel,Mains
金錢蝦餅,Deep fried shrimp croquette,Mains
蒜絨鱈魚,Fried codfish seasoned with garlic,Mains
香煎龍衣,Omelette with minced shrimp & garlic,Mains
豆油魚片,Fried sliced fish with soy sauce,Mains
芙蓉蟳腿,Steamed egg with crab meat,Mains
窯烤香辣雞塊,Murg ke Tikkey,Appetizers & Starters
坦杜里雞腿-四隻,Dilwala Tandoori Murg Full,Appetizers & Starters
白醬窯烤嫩雞塊,Murg Malai Kebab,Appetizers & Starters
(清真)孜然風味羊肉條,Raunak E Seekh Kebab,Appetizers & Starters
窯烤無骨鯛魚,Ajwani Machli Tikka,Appetizers & Starters
皇家檸檬烤蝦,Ajwani Tandoori Jhinga,Appetizers & Starters
原味香料脆餅,Plain Papad,Appetizers & Starters
印式原味優格,Plain Yogurt,Appetizers & Starters
今日例湯,Daily Soup,Appetizers & Starters
蔬菜香料脆餅,Masala Papad,Appetizers & Starters
鮮蔬沙拉盤,Green Salad,Appetizers & Starters
蔬菜咖哩角,Veg. Samosa,Appetizers & Starters
番茄湯,Tomato Soup,Appetizers & Starters
印式蔬菜優格,Mixed Raita,Appetizers & Starters
印度風洋蔥圈,Onion Bhaji,Appetizers & Starters
扁豆湯,Dal Soup,Appetizers & Starters
印度炸乳酪條,Paneer Pakora,Appetizers & Starters
蘑菇湯,Mushroom Soup,Appetizers & Starters
綜合炸物拼盤,Mixed Startar,Appetizers & Starters
雞肉湯,Chicken Soup,Appetizers & Starters
原味香料脆餅,Plain Papad,Appetizers & Starters
蔬菜香料脆餅,Masala Papad,Appetizers & Starters
蔬菜咖哩角,Veg. Samosa,Appetizers & Starters
印度風洋蔥圈,Onion Bhaji,Appetizers & Starters
印度炸乳酪條,Paneer Pakora,Appetizers & Starters
綜合炸物拼盤,Mixed Starter,Appetizers & Starters
濃縮義式咖啡,,Other
水蜜桃冰茶,Peach Iced Tea,Other
檸檬冰茶,Lemon Iced Tea,Other
氣泡美式咖啡,,Other
威士忌蘇打,Whiskey HighBall,Other
金湯尼,Gin & Tonic,Other
藍莓優格紅葉茶,Blueberry-Yogurt Roobios Tea,Beverages (Non-Alcoholic)
橙花紅葉茶,Orange-Eucalyptus Roobios Tea,Beverages (Non-Alcoholic)
甜橙瑪黛花茶,Mate Sweet Orange,Beverages (Non-Alcoholic)
百寧茶,Perfect World,Beverages (Non-Alcoholic)
巴比金湯尼,Bobby's Gin Tonic,Beverages (Non-Alcoholic)
外交官朗姆酒辣薑汁汽水,Rum Ginger Buck,Beverages (Non-Alcoholic)
義大利 葡萄柚氣泡,Aperol Grapefruit Soda,Beverages (Non-Alcoholic)
精選西班牙索蘭諾火腿,Serrano Ham,Appetizers & Starters
炸西班牙小青椒,Piparras (Fried Green Chilli),Appetizers & Starters
伊比利原味香腸,Iberian Salchichon,Appetizers & Starters
火烤蘆筍佐羅曼斯可醬,Grilled Asparagus with Romesco Sauce,Appetizers & Starters
西班牙經典臘腸,Iberian Chorizo,Appetizers & Starters
酥炸墨魚奶球,Calamari Croquettes,Appetizers & Starters
西班牙大里肌臘腸,Iberian Lomo,Appetizers & Starters
酥炸菠菜起司奶球,Spinach Croquettes,Appetizers & Starters
西班牙伊比利火腿,Iberian Ham(24 Months),Appetizers & Starters
火烤章魚腳佐香菜青醬,Grilled Octopus with Green Mojo Sauce,Appetizers & Starters
西班牙曼徹格起司,Cheese Manchego,Appetizers & Starters
加利西亞香煎花枝,Pan-Fried Calamari,Appetizers & Starters
西班牙綜合冷肉切盤,Mixed Platter,Appetizers & Starters
西班牙香腸佐杏鮑菇,Grilled Chorizo with Mushroom,Appetizers & Starters
焦糖洋蔥花枝佐墨魚醬,Onion Squid with Ink Sauce,Pasta / Noodles / Rice
松露油牛肝蕈寬麵,Pappardelle Mushroom & with Truffle Oil,Pasta / Noodles / Rice
油烤蒜味蝦,Garlic Shrimp,Pasta / Noodles / Rice
馬德里風味燉牛肚,Callos (Beef Tripe Stew),Appetizers & Starters
比利牛斯風味肉醬水管麵,Bolognese Sauce Paccheri in,Appetizers & Starters
自製長棍麵包,Bread,Appetizers & Starters
生氣的蛋,Huevos Rotos (Broken Eggs) with Ham,Appetizers & Starters
低溫烘烤豬菲力,Sous-vide Pork Filet,Appetizers & Starters
綜合橄欖,Marinated Olives,Appetizers & Starters
白鯷魚(附麵包),Anchovies in Vinegar (with bread),Appetizers & Starters
西班牙香酥蒜味牛排,Garlic Ribeye Steak (USDA Choice / 10oz),Appetizers & Starters
空氣長棍佐西班牙火腿,"Air Baguette, Salmorejo & Ham",Other
嫩煎鱸魚佐奶油醬汁,Pan-Fried Seabass with Butter Sauce,Other
海鮮飯 招牌西班牙,Seafood Paella,Other
"布拉塔佐番茄橄欖,開心果青醬","Burrata, Tomato, Pistachio Pesto",Other
墨魚海鮮飯,Black Paella w/ Seasonal Fish,Other
櫛瓜沙拉,Zucchini Salad,Desserts & Sweets
嫩煎肥肝鴨胸飯,Duck Paella with Foie,Desserts & Sweets
提拉米蘇,Tiramisu,Desserts & Sweets
芝麻葉沙拉佐西班牙火腿,Rocket Salad with Serrano Ham,Desserts & Sweets
招牌蔬食飯,Vegetables Paella,Desserts & Sweets
巴斯克起司蛋糕,Basque Cheese Cake,Desserts & Sweets
義式生牛肉薄片,Beef Carpaccio,Desserts & Sweets
紐奧良香烤雞腿,,Set Meals & Combos
香煎薄鹽鯰魚排,,Set Meals & Combos
雞腿排&青醬燉飯,,Set Meals & Combos
法式焦糖蘋果豬排,,Set Meals & Combos
鮮魚排&茄汁義大利麵,,Set Meals & Combos
酥炸黃金厚切豬排,,Set Meals & Combos
海水鮮魚 整尾,,Set Meals & Combos
沙朗牛排&松露燉飯,,Set Meals & Combos
沙朗牛排&蒜香義大利麵,,Set Meals & Combos
紐西蘭沙朗牛排(200g),,Set Meals & Combos
爐烤酸菜德國豬腳,,Set Meals & Combos
墨西哥雞肉義大利麵,,Pasta / Noodles / Rice
焗烤野姑蔬菜燉飯,,Pasta / Noodles / Rice
野姑蔬菜燉飯,,Pasta / Noodles / Rice
青醬蛤蜊義大利麵,,Pasta / Noodles / Rice
野姑蔬菜燉飯,,Pasta / Noodles / Rice
焗烤鯰魚蔬菜燉飯,,Pasta / Noodles / Rice
蘑菇/黑胡椒牛肉義大利麵,,Pasta / Noodles / Rice
焗烤海鮮斜管麵/飯,,Pasta / Noodles / Rice
野菇蔬菜燉飯,,Pasta / Noodles / Rice
茄汁海鮮義大利麵,,Pasta / Noodles / Rice
番紅花奶油干貝義大利麵,Cream of Saffron Pasta with Seafood,Pasta / Noodles / Rice
青醬奶油海鮮義大利麵,Cream of Pesto Pasta with Seafood,Pasta / Noodles / Rice
奶油海鮮義大利麵,Alfredo Sauce Pasta with Seafood,Pasta / Noodles / Rice
動傳洪蘭,Stir-Fried Pasta with Garlic & Steak,Pasta / Noodles / Rice
明太子小卷千貝義大利麵,Cream of Mentaiko Pasta with Scallops & Squid,Pasta / Noodles / Rice
青醬奶油蛤蜊義大利麵,Cream of Pesto Paste with Clams,Pasta / Noodles / Rice
蒜香干貝海鮮義大利麵,Stir-Fried Pasta with Garlic & Seafood,Pasta / Noodles / Rice
番茄蛤蜊義大利麵,Tomato Sauce Pasta with Clams,Pasta / Noodles / Rice
蝦醬鮮蝦干貝義大利麵,Shrimp Sauce Pasta with Shrimps & Scallops,Pasta / Noodles / Rice
蒜香白酒蛤蜊義大利麵,Sprpretti Wongsle,Pasta / Noodles / Rice
番茄海鮮義大利麵,Tomato Sauce Pasta with Seafood,Pasta / Noodles / Rice
經典培根蛋奶義大利麵,Spaghetti Carbonara,Pasta / Noodles / Rice
今日湯、飲料,Soup of the day. (Black Tea or Sugar Free Green Tea),Pasta / Noodles / Rice
今日湯、飲料(紅茶or無糖綠茶),Soup of the day. (Black Tea or Sugar Free Green Tea),Pasta / Noodles / Rice
沙拉(凱薩/和風)、今日湯、飲料(紅茶or無糖綠茶),"Salad(Caesar/Japanese Style Dressing), Soup of the Day. Beverage (Black Tea or Sugar Free Green Tea)",Pasta / Noodles / Rice
沙拉(凱薩/和風)、今日湯、飲料,"Salad (Caesar/Japanese Style Dressing). Soup of the Day, Beverage (Black Tea or Sugar Free Green Tea)",Pasta / Noodles / Rice
沙拉(凱薩/和風)、今日湯、飲料(紅茶or無糖綠茶)、原味奶酪,"Salad(Caesar/Japanese Style Dressing). Soup of the Day. Beverage (Black Tea or Sugar Free Green Tea), Panna Cota",Pasta / Noodles / Rice
沙拉(凱薩/和風)、今日湯、飲料(紅茶or無糖綠茶)、原味奶酪,"Salad(Caesar/Japanese Style Dressing). Soup of the Day, Beverage (Black Tea or Sugar Free Green Tea), Panna Cota",Pasta / Noodles / Rice
沙拉(凱薩/和風)、今日湯、飲料,"Salad(Caesar/Japanese Style Dressing), Soup of the Day. Beverage (Black Tea or Sugar Free Green Tea). Crazy Crunchy Fries",Pasta / Noodles / Rice
沙拉(凱薩/和風)、今日湯、飲料(紅茶or無糖綠茶)、Crazy脆脆薯,Salad (Caesar/Japanese Style Dressing). Soup of the Day. Beverage (Black Tea or Sugar Free Green Tea). Crazy Crunchy Fries,Pasta / Noodles / Rice
沙拉(凱薩/和風)、今日湯、飲料,"Salad(Caesar/Japanese Style Dressing). Soup of the Day. Beverage (Black Tea or Sugar Free Green Tea), Creme Brulee",Pasta / Noodles / Rice
沙拉(凱薩/和風)、今日湯、飲料(紅茶or無糖綠茶)、敲敲焦糖烤布蕾,"Salad (Caesar/Japanese Style Dressing). Soup of the Day, Beverage (Black Tea or Sugar Free Green Tea). Creme Brulee",Pasta / Noodles / Rice
鹽焗蝦,,Mains
清蒸石斑,,Mains
京都排骨,,Mains
乾煎鱈魚,,Mains
豉汁排骨,,Mains
清蒸鱈魚,,Mains
薑蔥焗蟹,,Mains
椒鹽排骨,,Mains
菜心肉片,,Mains
清蒸肉蟹,,Mains
糖醋魚片,,Mains
香灣魚片,,Mains
沙爹肉片,,Mains
銀芽三絲,,Mains
豉汁魚頭,,Mains
薑蔥魚真,,Mains
鹹魚蒸肉餅,,Mains
碧綠蝦球,,Mains
果律蝦球,,Mains
鹹蛋蒸肉餅,,Mains
豉油皇草蝦,,Mains
酸菜炒肥腸,,Mains
蒜蓉蒸草蝦,,Mains
滑蛋蝦仁,,Mains
脆皮肥腸,,Mains
豉椒鮮魷,,Mains
椒鹽吊片,,Mains
滷大腸,,Mains
碧綠炒雙脆,,Mains
XO醬炒雙脆,,Mains
泰式辣炒豬肉義大利麵,,Pasta / Noodles / Rice
奶油味噌豬肉義大利麵,,Pasta / Noodles / Rice
韓式泡菜豬豬義大利麵,,Pasta / Noodles / Rice
番紅花奶油海鮮燉飯,,Pasta / Noodles / Rice
粉紅醬牛肉丸義大利麵,,Pasta / Noodles / Rice
日式醬燒牛培根燉飯,,Pasta / Noodles / Rice
青醬奶油雞肉義大利麵,,Pasta / Noodles / Rice
奶油海鮮焗飯,,Pasta / Noodles / Rice
奶油野菇雞肉義大利麵,,Pasta / Noodles / Rice
牛肝菌野菇雞肉燉飯,,Pasta / Noodles / Rice
三杯雞義大利麵,,Pasta / Noodles / Rice
野菇鮮蔬燉飯(素),,Pasta / Noodles / Rice
奶油鮮蔬義大利麵(蛋奶素),,Pasta / Noodles / Rice
野菇鮮蔬義大利麵(素),,Appetizers & Starters
Crazy脆脆薯,,Appetizers & Starters
羅勒雞,,Appetizers & Starters
青醬奶油海鮮義大利麵,,Appetizers & Starters
墨西哥雞翅,,Appetizers & Starters
奶油海鮮義大利麵,,Appetizers & Starters
酥炸鱈魚條,,Appetizers & Starters
青醬奶油蛤蜊義大利麵,,Appetizers & Starters
Crazy拼盤,,Appetizers & Starters
蕃茄蛤蜊義大利麵,,Appetizers & Starters
蒜香白酒蛤蜊義大利麵,,Salads & Cold Dishes
木碗唐揚雞凱撒沙拉,,Salads & Cold Dishes
經典培根蛋奶義大利麵,,Salads & Cold Dishes
番紅花奶油干貝義大利麵,,Salads & Cold Dishes
經典mojito無酒精氣泡飲,,Beverages (Non-Alcoholic)
明太子小卷干貝義大利麵,,Beverages (Non-Alcoholic)
鳳梨mojito無酒精氣泡飲,,Beverages (Non-Alcoholic)
芒果mojito無酒精氣泡飲,,Beverages (Non-Alcoholic)
蒜香干貝海鮮義大利麵,,Beverages (Non-Alcoholic)
百香果mojito無酒精氣泡飲,,Beverages (Non-Alcoholic)
蝦醬鮮蝦干貝義大利麵,,Beverages (Non-Alcoholic)
蕃茄海鮮義大利麵,,Beverages (Non-Alcoholic)
香料馬鈴薯,Aloo Jeera,Pasta / Noodles / Rice
鷹嘴豆馬薩拉,Channa Masala,Pasta / Noodles / Rice
